                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,L_0_entry_rate  ,  R-squared:         ,0.7699   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.7620   
No. Observations:,9412            ,  F-statistic:       ,2.65e+05 
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:40        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.6239]      ,-0.7855  ,0.3574   ,-2.1979,0.0280 ,-1.4860 ,-0.0850 
C(sector)[T.6241]      ,-0.7477  ,0.3601   ,-2.0763,0.0379 ,-1.4535 ,-0.0419 
C(sector)[T.6242]      ,-0.8087  ,0.3592   ,-2.2510,0.0244 ,-1.5128 ,-0.1046 
C(sector)[T.6243]      ,-0.8082  ,0.3573   ,-2.2618,0.0237 ,-1.5086 ,-0.1078 
C(sector)[T.6244]      ,-0.7460  ,0.3587   ,-2.0794,0.0376 ,-1.4491 ,-0.0429 
C(sector)[T.7111]      ,-0.7435  ,0.3434   ,-2.1654,0.0304 ,-1.4165 ,-0.0705 
C(sector)[T.7112]      ,-0.7154  ,0.3435   ,-2.0829,0.0373 ,-1.3885 ,-0.0422 
C(sector)[T.7113]      ,-0.7354  ,0.3443   ,-2.1358,0.0327 ,-1.4103 ,-0.0605 
C(sector)[T.7114]      ,-0.7091  ,0.3441   ,-2.0607,0.0393 ,-1.3835 ,-0.0347 
C(sector)[T.7115]      ,-0.6807  ,0.3441   ,-1.9785,0.0479 ,-1.3551 ,-0.0064 
C(sector)[T.7121]      ,-0.8040  ,0.3442   ,-2.3361,0.0195 ,-1.4786 ,-0.1295 
C(sector)[T.7131]      ,-0.6987  ,0.3437   ,-2.0329,0.0421 ,-1.3724 ,-0.0251 
C(sector)[T.7132]      ,-0.7324  ,0.3439   ,-2.1294,0.0332 ,-1.4065 ,-0.0583 
C(sector)[T.7139]      ,-0.7421  ,0.3435   ,-2.1600,0.0308 ,-1.4154 ,-0.0687 
C(sector)[T.7211]      ,-0.5827  ,0.2886   ,-2.0191,0.0435 ,-1.1483 ,-0.0171 
C(sector)[T.7212]      ,-0.6044  ,0.2887   ,-2.0933,0.0363 ,-1.1702 ,-0.0385 
C(sector)[T.7213]      ,-0.6414  ,0.2892   ,-2.2181,0.0265 ,-1.2081 ,-0.0747 
C(sector)[T.7223]      ,-0.5010  ,0.2884   ,-1.7370,0.0824 ,-1.0664 ,0.0643  
C(sector)[T.7224]      ,-0.5745  ,0.2890   ,-1.9878,0.0468 ,-1.1410 ,-0.0080 
C(sector)[T.7225]      ,-0.5330  ,0.2885   ,-1.8473,0.0647 ,-1.0985 ,0.0325  
C(sector)[T.8111]      ,-0.8934  ,0.3956   ,-2.2581,0.0239 ,-1.6688 ,-0.1179 
C(sector)[T.8112]      ,-0.8840  ,0.3964   ,-2.2303,0.0257 ,-1.6609 ,-0.1071 
C(sector)[T.8113]      ,-0.9042  ,0.3962   ,-2.2820,0.0225 ,-1.6808 ,-0.1276 
C(sector)[T.8114]      ,-0.8806  ,0.3970   ,-2.2180,0.0266 ,-1.6587 ,-0.1024 
C(sector)[T.8121]      ,-0.8524  ,0.3949   ,-2.1587,0.0309 ,-1.6263 ,-0.0785 
C(sector)[T.8122]      ,-0.9523  ,0.3965   ,-2.4019,0.0163 ,-1.7293 ,-0.1752 
C(sector)[T.8123]      ,-0.8968  ,0.3964   ,-2.2623,0.0237 ,-1.6738 ,-0.1199 
C(sector)[T.8129]      ,-0.8048  ,0.3943   ,-2.0410,0.0413 ,-1.5776 ,-0.0319 
C(sector)[T.8131]      ,-0.9492  ,0.3935   ,-2.4120,0.0159 ,-1.7204 ,-0.1779 
C(sector)[T.8132]      ,-0.9059  ,0.3948   ,-2.2946,0.0218 ,-1.6796 ,-0.1321 
C(sector)[T.8133]      ,-0.9058  ,0.3950   ,-2.2935,0.0218 ,-1.6799 ,-0.1317 
C(sector)[T.8134]      ,-0.9523  ,0.3966   ,-2.4013,0.0163 ,-1.7295 ,-0.1750 
C(sector)[T.8139]      ,-0.9486  ,0.3959   ,-2.3960,0.0166 ,-1.7245 ,-0.1726 
C(year)[T.1987]        ,-0.0099  ,0.0060   ,-1.6657,0.0958 ,-0.0216 ,0.0018  
C(year)[T.1988]        ,-0.0198  ,0.0071   ,-2.7989,0.0051 ,-0.0337 ,-0.0059 
C(year)[T.1989]        ,-0.0273  ,0.0083   ,-3.2923,0.0010 ,-0.0436 ,-0.0111 
C(year)[T.1990]        ,-0.0348  ,0.0093   ,-3.7295,0.0002 ,-0.0531 ,-0.0165 
C(year)[T.1991]        ,-0.0461  ,0.0097   ,-4.7758,0.0000 ,-0.0651 ,-0.0272 
C(year)[T.1992]        ,-0.0481  ,0.0097   ,-4.9545,0.0000 ,-0.0671 ,-0.0291 
C(year)[T.1993]        ,-0.0455  ,0.0104   ,-4.3973,0.0000 ,-0.0658 ,-0.0252 
C(year)[T.1994]        ,-0.0434  ,0.0108   ,-4.0106,0.0001 ,-0.0646 ,-0.0222 
C(year)[T.1995]        ,-0.0402  ,0.0107   ,-3.7450,0.0002 ,-0.0612 ,-0.0192 
C(year)[T.1996]        ,-0.0288  ,0.0071   ,-4.0294,0.0001 ,-0.0428 ,-0.0148 
C(year)[T.1997]        ,-0.0372  ,0.0099   ,-3.7699,0.0002 ,-0.0565 ,-0.0179 
C(year)[T.1998]        ,-0.0470  ,0.0114   ,-4.1324,0.0000 ,-0.0693 ,-0.0247 
C(year)[T.1999]        ,-0.0532  ,0.0115   ,-4.6476,0.0000 ,-0.0757 ,-0.0308 
C(year)[T.2000]        ,-0.0562  ,0.0122   ,-4.6188,0.0000 ,-0.0800 ,-0.0324 
C(year)[T.2001]        ,-0.0612  ,0.0127   ,-4.8327,0.0000 ,-0.0860 ,-0.0364 
C(year)[T.2002]        ,-0.0579  ,0.0130   ,-4.4725,0.0000 ,-0.0833 ,-0.0326 
C(year)[T.2003]        ,-0.0570  ,0.0137   ,-4.1631,0.0000 ,-0.0838 ,-0.0302 
C(year)[T.2004]        ,-0.0542  ,0.0147   ,-3.6931,0.0002 ,-0.0829 ,-0.0254 
C(year)[T.2005]        ,-0.0545  ,0.0154   ,-3.5357,0.0004 ,-0.0847 ,-0.0243 
C(year)[T.2006]        ,-0.0538  ,0.0164   ,-3.2767,0.0011 ,-0.0860 ,-0.0216 
C(year)[T.2007]        ,-0.0641  ,0.0174   ,-3.6863,0.0002 ,-0.0981 ,-0.0300 
C(year)[T.2008]        ,-0.0738  ,0.0182   ,-4.0601,0.0000 ,-0.1094 ,-0.0382 
C(year)[T.2009]        ,-0.0894  ,0.0185   ,-4.8322,0.0000 ,-0.1257 ,-0.0532 
C(year)[T.2010]        ,-0.0935  ,0.0193   ,-4.8430,0.0000 ,-0.1313 ,-0.0556 
C(year)[T.2011]        ,-0.0924  ,0.0205   ,-4.5012,0.0000 ,-0.1327 ,-0.0522 
C(year)[T.2012]        ,-0.0936  ,0.0220   ,-4.2623,0.0000 ,-0.1367 ,-0.0506 
C(year)[T.2013]        ,-0.0977  ,0.0232   ,-4.2178,0.0000 ,-0.1431 ,-0.0523 
C(year)[T.2014]        ,-0.0970  ,0.0235   ,-4.1277,0.0000 ,-0.1431 ,-0.0510 
C(year)[T.2015]        ,-0.0960  ,0.0236   ,-4.0691,0.0000 ,-0.1422 ,-0.0497 
C(year)[T.2016]        ,-0.0963  ,0.0250   ,-3.8574,0.0001 ,-0.1452 ,-0.0474 
C(year)[T.2017]        ,-0.1100  ,0.0294   ,-3.7412,0.0002 ,-0.1676 ,-0.0524 
C(year)[T.2018]        ,-0.1096  ,0.0294   ,-3.7303,0.0002 ,-0.1671 ,-0.0520 
C(year)[T.2019]        ,-0.1068  ,0.0288   ,-3.7075,0.0002 ,-0.1632 ,-0.0503 
L_0_log_gdp            ,-0.0150  ,0.0041   ,-3.6182,0.0003 ,-0.0231 ,-0.0069 
L_0_log_restriction_2_0,0.1005   ,0.0353   ,2.8463 ,0.0044 ,0.0313  ,0.1697  

Endogenous: L_0_log_restriction_2_0
Instruments: L_0_bartik_iv
Robust Covariance (Heteroskedastic)
Debiased: False
