                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,log_emp         ,  R-squared:         ,0.9784   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.9776   
No. Observations:,9412            ,  F-statistic:       ,1.543e+08
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:54        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.4533]      ,8.4278   ,2.2654   ,3.7203 ,0.0002 ,3.9878  ,12.868  
C(sector)[T.4539]      ,9.0495   ,2.2658   ,3.9939 ,0.0001 ,4.6086  ,13.490  
C(sector)[T.4541]      ,9.4146   ,2.2688   ,4.1496 ,0.0000 ,4.9679  ,13.861  
C(sector)[T.4542]      ,7.6952   ,2.2623   ,3.4015 ,0.0007 ,3.2612  ,12.129  
C(sector)[T.4543]      ,8.9744   ,2.2627   ,3.9663 ,0.0001 ,4.5397  ,13.409  
C(sector)[T.4811]      ,10.575   ,2.4791   ,4.2657 ,0.0000 ,5.7162  ,15.434  
C(sector)[T.4812]      ,7.9236   ,2.4738   ,3.2030 ,0.0014 ,3.0751  ,12.772  
C(sector)[T.4831]      ,8.2779   ,2.4742   ,3.3457 ,0.0008 ,3.4286  ,13.127  
C(sector)[T.4832]      ,7.3423   ,2.4750   ,2.9666 ,0.0030 ,2.4913  ,12.193  
C(sector)[T.4841]      ,11.227   ,2.4733   ,4.5393 ,0.0000 ,6.3796  ,16.075  
C(sector)[T.4842]      ,10.703   ,2.4767   ,4.3213 ,0.0000 ,5.8485  ,15.557  
C(sector)[T.4851]      ,8.2220   ,2.4756   ,3.3212 ,0.0009 ,3.3698  ,13.074  
C(sector)[T.4852]      ,7.3497   ,2.4787   ,2.9651 ,0.0030 ,2.4915  ,12.208  
C(sector)[T.4853]      ,8.6199   ,2.4756   ,3.4819 ,0.0005 ,3.7678  ,13.472  
C(sector)[T.4854]      ,9.5968   ,2.4777   ,3.8732 ,0.0001 ,4.7405  ,14.453  
C(sector)[T.4855]      ,7.8230   ,2.4755   ,3.1602 ,0.0016 ,2.9711  ,12.675  
C(sector)[T.4859]      ,8.5506   ,2.4724   ,3.4584 ,0.0005 ,3.7047  ,13.396  
C(sector)[T.4861]      ,6.5920   ,2.4738   ,2.6647 ,0.0077 ,1.7435  ,11.441  
C(sector)[T.4862]      ,8.1200   ,2.4816   ,3.2721 ,0.0011 ,3.2562  ,12.984  
C(sector)[T.4869]      ,6.4028   ,2.4746   ,2.5875 ,0.0097 ,1.5528  ,11.253  
C(sector)[T.4871]      ,6.5960   ,2.4739   ,2.6662 ,0.0077 ,1.7473  ,11.445  
C(sector)[T.4872]      ,6.9332   ,2.4751   ,2.8012 ,0.0051 ,2.0821  ,11.784  
C(sector)[T.4879]      ,5.0832   ,2.4746   ,2.0541 ,0.0400 ,0.2330  ,9.9333  
C(sector)[T.4881]      ,9.3707   ,2.4746   ,3.7867 ,0.0002 ,4.5205  ,14.221  
C(sector)[T.4882]      ,7.6806   ,2.4761   ,3.1019 ,0.0019 ,2.8275  ,12.534  
C(sector)[T.4883]      ,8.9301   ,2.4775   ,3.6044 ,0.0003 ,4.0742  ,13.786  
C(sector)[T.4884]      ,8.5993   ,2.4718   ,3.4789 ,0.0005 ,3.7547  ,13.444  
C(sector)[T.4885]      ,9.6698   ,2.4742   ,3.9082 ,0.0001 ,4.8205  ,14.519  
C(sector)[T.4889]      ,7.2992   ,2.4744   ,2.9500 ,0.0032 ,2.4496  ,12.149  
C(sector)[T.4921]      ,10.637   ,2.4728   ,4.3015 ,0.0000 ,5.7902  ,15.483  
C(sector)[T.4922]      ,8.3836   ,2.4769   ,3.3848 ,0.0007 ,3.5290  ,13.238  
C(sector)[T.4931]      ,10.856   ,2.4762   ,4.3841 ,0.0000 ,6.0027  ,15.709  
C(sector)[T.5111]      ,10.371   ,2.3478   ,4.4172 ,0.0000 ,5.7691  ,14.972  
C(sector)[T.5112]      ,9.6124   ,2.3498   ,4.0907 ,0.0000 ,5.0069  ,14.218  
C(sector)[T.5121]      ,9.5656   ,2.3480   ,4.0740 ,0.0000 ,4.9637  ,14.168  
C(sector)[T.5122]      ,7.0224   ,2.3485   ,2.9902 ,0.0028 ,2.4195  ,11.625  
C(sector)[T.5151]      ,9.4378   ,2.3453   ,4.0241 ,0.0001 ,4.8410  ,14.035  
C(sector)[T.5152]      ,7.4787   ,2.3517   ,3.1802 ,0.0015 ,2.8695  ,12.088  
C(sector)[T.5173]      ,10.963   ,2.3486   ,4.6682 ,0.0000 ,6.3604  ,15.567  
C(sector)[T.5174]      ,6.4931   ,2.3544   ,2.7579 ,0.0058 ,1.8787  ,11.108  
C(sector)[T.5179]      ,8.1499   ,2.3564   ,3.4586 ,0.0005 ,3.5314  ,12.768  
C(sector)[T.5182]      ,9.8942   ,2.3477   ,4.2145 ,0.0000 ,5.2928  ,14.495  
C(sector)[T.5191]      ,8.7551   ,2.3514   ,3.7234 ,0.0002 ,4.1465  ,13.364  
C(sector)[T.5211]      ,7.2814   ,2.4316   ,2.9944 ,0.0027 ,2.5154  ,12.047  
C(sector)[T.5221]      ,11.359   ,2.4296   ,4.6752 ,0.0000 ,6.5971  ,16.121  
C(sector)[T.5222]      ,10.092   ,2.4287   ,4.1551 ,0.0000 ,5.3314  ,14.852  
C(sector)[T.5223]      ,9.0696   ,2.4267   ,3.7374 ,0.0002 ,4.3134  ,13.826  
C(sector)[T.5231]      ,9.7536   ,2.4281   ,4.0169 ,0.0001 ,4.9946  ,14.513  
C(sector)[T.5232]      ,5.8768   ,2.4283   ,2.4201 ,0.0155 ,1.1174  ,10.636  
C(sector)[T.5239]      ,9.5485   ,2.4328   ,3.9249 ,0.0001 ,4.7803  ,14.317  
C(sector)[T.5241]      ,11.024   ,2.4296   ,4.5374 ,0.0000 ,6.2623  ,15.786  
C(sector)[T.5242]      ,10.464   ,2.4359   ,4.2956 ,0.0000 ,5.6895  ,15.238  
C(sector)[T.5250]      ,7.4168   ,2.4271   ,3.0558 ,0.0022 ,2.6597  ,12.174  
C(sector)[T.5311]      ,8.3217   ,1.1031   ,7.5443 ,0.0000 ,6.1598  ,10.484  
C(sector)[T.5312]      ,7.6509   ,1.0910   ,7.0128 ,0.0000 ,5.5126  ,9.7892  
C(sector)[T.5313]      ,8.3062   ,1.0885   ,7.6309 ,0.0000 ,6.1728  ,10.440  
C(sector)[T.5321]      ,7.1224   ,1.1020   ,6.4631 ,0.0000 ,4.9625  ,9.2823  
C(sector)[T.5322]      ,7.4439   ,1.1073   ,6.7228 ,0.0000 ,5.2737  ,9.6141  
C(sector)[T.5323]      ,5.5618   ,1.1046   ,5.0350 ,0.0000 ,3.3968  ,7.7268  
C(sector)[T.5324]      ,7.0199   ,1.0975   ,6.3965 ,0.0000 ,4.8689  ,9.1708  
C(sector)[T.5331]      ,5.2623   ,1.0906   ,4.8253 ,0.0000 ,3.1249  ,7.3998  
C(sector)[T.5411]      ,10.748   ,2.4033   ,4.4723 ,0.0000 ,6.0379  ,15.459  
C(sector)[T.5412]      ,10.696   ,2.4052   ,4.4473 ,0.0000 ,5.9825  ,15.411  
C(sector)[T.5413]      ,10.854   ,2.4055   ,4.5120 ,0.0000 ,6.1389  ,15.568  
C(sector)[T.5414]      ,8.4633   ,2.4054   ,3.5184 ,0.0004 ,3.7487  ,13.178  
C(sector)[T.5415]      ,10.735   ,2.4033   ,4.4670 ,0.0000 ,6.0250  ,15.446  
C(sector)[T.5416]      ,10.355   ,2.4021   ,4.3108 ,0.0000 ,5.6471  ,15.063  
C(sector)[T.5417]      ,10.088   ,2.4042   ,4.1961 ,0.0000 ,5.3760  ,14.800  
C(sector)[T.5418]      ,9.8096   ,2.4057   ,4.0776 ,0.0000 ,5.0945  ,14.525  
C(sector)[T.5419]      ,9.9168   ,2.4049   ,4.1235 ,0.0000 ,5.2032  ,14.630  
C(sector)[T.5511]      ,12.000   ,1.2253   ,9.7935 ,0.0000 ,9.5988  ,14.402  
C(sector)[T.5611]      ,10.433   ,2.3993   ,4.3483 ,0.0000 ,5.7304  ,15.136  
C(sector)[T.5612]      ,9.6225   ,2.3981   ,4.0126 ,0.0001 ,4.9223  ,14.323  
C(sector)[T.5613]      ,12.680   ,2.4015   ,5.2803 ,0.0000 ,7.9737  ,17.387  
