                     IV-2SLS Estimation Summary                    
Dep. Variable:   ,reallocation_rate,  R-squared:         ,0.7142   
Estimator:       ,IV-2SLS          ,  Adj. R-squared:    ,0.7041   
No. Observations:,8079             ,  F-statistic:       ,3.28e+05 
Date:            ,Wed, Aug 17 2022 ,  P-value (F-stat)   ,0.0000   
Time:            ,19:47:15         ,  Distribution:      ,chi2(276)
Cov. Estimator:  ,heteroskedastic  ,                     ,         
                 ,                 ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.6111]      ,-2.7405  ,0.3548   ,-7.7240,0.0000 ,-3.4359 ,-2.0451 
C(sector)[T.6112]      ,-2.7109  ,0.3548   ,-7.6412,0.0000 ,-3.4063 ,-2.0156 
C(sector)[T.6113]      ,-2.7793  ,0.3548   ,-7.8345,0.0000 ,-3.4746 ,-2.0840 
C(sector)[T.6114]      ,-2.5044  ,0.3548   ,-7.0594,0.0000 ,-3.1997 ,-1.8091 
C(sector)[T.6115]      ,-2.5620  ,0.3547   ,-7.2222,0.0000 ,-3.2573 ,-1.8668 
C(sector)[T.6116]      ,-2.5200  ,0.3546   ,-7.1075,0.0000 ,-3.2149 ,-1.8251 
C(sector)[T.6117]      ,-2.5294  ,0.3548   ,-7.1288,0.0000 ,-3.2249 ,-1.8340 
C(sector)[T.6211]      ,-2.6435  ,0.3558   ,-7.4303,0.0000 ,-3.3409 ,-1.9462 
C(sector)[T.6212]      ,-2.6810  ,0.3576   ,-7.4970,0.0000 ,-3.3820 ,-1.9801 
C(sector)[T.6213]      ,-2.5986  ,0.3582   ,-7.2555,0.0000 ,-3.3005 ,-1.8966 
C(sector)[T.6214]      ,-2.6659  ,0.3585   ,-7.4370,0.0000 ,-3.3685 ,-1.9633 
C(sector)[T.6215]      ,-2.6084  ,0.3577   ,-7.2913,0.0000 ,-3.3096 ,-1.9073 
C(sector)[T.6216]      ,-2.6274  ,0.3591   ,-7.3166,0.0000 ,-3.3312 ,-1.9236 
C(sector)[T.6219]      ,-2.6083  ,0.3576   ,-7.2931,0.0000 ,-3.3093 ,-1.9074 
C(sector)[T.6221]      ,-2.8088  ,0.3572   ,-7.8633,0.0000 ,-3.5089 ,-2.1087 
C(sector)[T.6222]      ,-2.7803  ,0.3574   ,-7.7780,0.0000 ,-3.4808 ,-2.0797 
C(sector)[T.6223]      ,-2.7837  ,0.3579   ,-7.7780,0.0000 ,-3.4851 ,-2.0822 
C(sector)[T.6231]      ,-2.7319  ,0.3575   ,-7.6409,0.0000 ,-3.4326 ,-2.0311 
C(sector)[T.6232]      ,-2.6622  ,0.3579   ,-7.4387,0.0000 ,-3.3637 ,-1.9608 
C(sector)[T.6233]      ,-2.6807  ,0.3582   ,-7.4829,0.0000 ,-3.3828 ,-1.9785 
C(sector)[T.6239]      ,-2.6752  ,0.3570   ,-7.4940,0.0000 ,-3.3749 ,-1.9756 
C(sector)[T.6241]      ,-2.6768  ,0.3587   ,-7.4625,0.0000 ,-3.3798 ,-1.9737 
C(sector)[T.6242]      ,-2.6788  ,0.3582   ,-7.4779,0.0000 ,-3.3809 ,-1.9767 
C(sector)[T.6243]      ,-2.6424  ,0.3569   ,-7.4030,0.0000 ,-3.3420 ,-1.9428 
C(sector)[T.6244]      ,-2.6402  ,0.3579   ,-7.3770,0.0000 ,-3.3416 ,-1.9387 
C(sector)[T.7111]      ,-2.3043  ,0.3299   ,-6.9858,0.0000 ,-2.9509 ,-1.6578 
C(sector)[T.7112]      ,-2.3735  ,0.3299   ,-7.1942,0.0000 ,-3.0202 ,-1.7269 
C(sector)[T.7113]      ,-2.3518  ,0.3303   ,-7.1192,0.0000 ,-2.9993 ,-1.7043 
C(sector)[T.7114]      ,-2.2954  ,0.3303   ,-6.9504,0.0000 ,-2.9427 ,-1.6481 
C(sector)[T.7115]      ,-2.1116  ,0.3301   ,-6.3959,0.0000 ,-2.7587 ,-1.4645 
C(sector)[T.7121]      ,-2.5178  ,0.3301   ,-7.6273,0.0000 ,-3.1648 ,-1.8708 
C(sector)[T.7131]      ,-2.4609  ,0.3300   ,-7.4582,0.0000 ,-3.1076 ,-1.8142 
C(sector)[T.7132]      ,-2.4831  ,0.3300   ,-7.5251,0.0000 ,-3.1298 ,-1.8363 
C(sector)[T.7139]      ,-2.3917  ,0.3298   ,-7.2527,0.0000 ,-3.0380 ,-1.7454 
