                     IV-2SLS Estimation Summary                    
Dep. Variable:   ,estabs_entry_rate,  R-squared:         ,0.8561   
Estimator:       ,IV-2SLS          ,  Adj. R-squared:    ,0.8511   
No. Observations:,8262             ,  F-statistic:       ,5.197e+05
Date:            ,Sat, Aug 13 2022 ,  P-value (F-stat)   ,0.0000   
Time:            ,22:39:22         ,  Distribution:      ,chi2(279)
Cov. Estimator:  ,heteroskedastic  ,                     ,         
                 ,                 ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.6216]      ,0.0856   ,0.0871   ,0.9826 ,0.3258 ,-0.0851 ,0.2563  
C(sector)[T.6219]      ,0.0553   ,0.0867   ,0.6375 ,0.5238 ,-0.1147 ,0.2252  
C(sector)[T.6221]      ,-0.0344  ,0.0865   ,-0.3977,0.6908 ,-0.2039 ,0.1351  
C(sector)[T.6222]      ,-0.0108  ,0.0869   ,-0.1244,0.9010 ,-0.1811 ,0.1595  
C(sector)[T.6223]      ,0.0170   ,0.0871   ,0.1953 ,0.8452 ,-0.1537 ,0.1877  
C(sector)[T.6231]      ,0.0066   ,0.0866   ,0.0764 ,0.9391 ,-0.1631 ,0.1764  
C(sector)[T.6232]      ,0.0296   ,0.0868   ,0.3408 ,0.7332 ,-0.1405 ,0.1997  
C(sector)[T.6233]      ,0.0486   ,0.0867   ,0.5607 ,0.5750 ,-0.1213 ,0.2185  
C(sector)[T.6239]      ,0.0264   ,0.0865   ,0.3057 ,0.7598 ,-0.1431 ,0.1960  
C(sector)[T.6241]      ,0.0475   ,0.0868   ,0.5476 ,0.5840 ,-0.1226 ,0.2177  
C(sector)[T.6242]      ,0.0042   ,0.0868   ,0.0489 ,0.9610 ,-0.1659 ,0.1744  
C(sector)[T.6243]      ,0.0104   ,0.0864   ,0.1200 ,0.9045 ,-0.1590 ,0.1798  
C(sector)[T.6244]      ,0.0463   ,0.0867   ,0.5345 ,0.5930 ,-0.1236 ,0.2163  
C(sector)[T.7111]      ,0.0785   ,0.0789   ,0.9954 ,0.3196 ,-0.0761 ,0.2332  
C(sector)[T.7112]      ,0.0941   ,0.0789   ,1.1924 ,0.2331 ,-0.0605 ,0.2487  
C(sector)[T.7113]      ,0.0788   ,0.0790   ,0.9980 ,0.3183 ,-0.0760 ,0.2337  
C(sector)[T.7114]      ,0.1015   ,0.0790   ,1.2856 ,0.1986 ,-0.0533 ,0.2563  
C(sector)[T.7115]      ,0.1507   ,0.0793   ,1.9013 ,0.0573 ,-0.0047 ,0.3061  
C(sector)[T.7121]      ,0.0077   ,0.0790   ,0.0980 ,0.9219 ,-0.1470 ,0.1625  
C(sector)[T.7131]      ,0.0861   ,0.0791   ,1.0873 ,0.2769 ,-0.0691 ,0.2412  
C(sector)[T.7132]      ,0.0667   ,0.0791   ,0.8432 ,0.3991 ,-0.0883 ,0.2218  
C(sector)[T.7139]      ,0.0619   ,0.0789   ,0.7850 ,0.4325 ,-0.0927 ,0.2166  
C(year)[T.1987]        ,-0.0007  ,0.0038   ,-0.1948,0.8455 ,-0.0082 ,0.0067  
C(year)[T.1988]        ,-0.0025  ,0.0041   ,-0.6073,0.5437 ,-0.0106 ,0.0056  
C(year)[T.1989]        ,-0.0106  ,0.0042   ,-2.5199,0.0117 ,-0.0189 ,-0.0024 
C(year)[T.1990]        ,-0.0162  ,0.0043   ,-3.7481,0.0002 ,-0.0247 ,-0.0077 
C(year)[T.1991]        ,-0.0185  ,0.0042   ,-4.3524,0.0000 ,-0.0268 ,-0.0101 
C(year)[T.1992]        ,-0.0251  ,0.0039   ,-6.4470,0.0000 ,-0.0328 ,-0.0175 
C(year)[T.1993]        ,-0.0267  ,0.0043   ,-6.1763,0.0000 ,-0.0351 ,-0.0182 
C(year)[T.1994]        ,-0.0251  ,0.0048   ,-5.2780,0.0000 ,-0.0344 ,-0.0158 
C(year)[T.1995]        ,-0.0246  ,0.0049   ,-4.9972,0.0000 ,-0.0343 ,-0.0150 
C(year)[T.1996]        ,-0.0255  ,0.0044   ,-5.8331,0.0000 ,-0.0341 ,-0.0169 
C(year)[T.1997]        ,-0.0233  ,0.0052   ,-4.4382,0.0000 ,-0.0336 ,-0.0130 
C(year)[T.1998]        ,-0.0312  ,0.0056   ,-5.5761,0.0000 ,-0.0422 ,-0.0202 
C(year)[T.1999]        ,-0.0362  ,0.0058   ,-6.2439,0.0000 ,-0.0476 ,-0.0249 
C(year)[T.2000]        ,-0.0377  ,0.0059   ,-6.3574,0.0000 ,-0.0494 ,-0.0261 
C(year)[T.2001]        ,-0.0363  ,0.0063   ,-5.7511,0.0000 ,-0.0487 ,-0.0239 
C(year)[T.2002]        ,-0.0293  ,0.0065   ,-4.4982,0.0000 ,-0.0421 ,-0.0165 
C(year)[T.2003]        ,-0.0369  ,0.0066   ,-5.5588,0.0000 ,-0.0500 ,-0.0239 
C(year)[T.2004]        ,-0.0383  ,0.0070   ,-5.5133,0.0000 ,-0.0520 ,-0.0247 
C(year)[T.2005]        ,-0.0399  ,0.0073   ,-5.4857,0.0000 ,-0.0542 ,-0.0257 
C(year)[T.2006]        ,-0.0321  ,0.0077   ,-4.1628,0.0000 ,-0.0473 ,-0.0170 
C(year)[T.2007]        ,-0.0385  ,0.0081   ,-4.7616,0.0000 ,-0.0543 ,-0.0226 
C(year)[T.2008]        ,-0.0503  ,0.0084   ,-6.0024,0.0000 ,-0.0667 ,-0.0339 
C(year)[T.2009]        ,-0.0568  ,0.0086   ,-6.6322,0.0000 ,-0.0736 ,-0.0400 
C(year)[T.2010]        ,-0.0576  ,0.0088   ,-6.5731,0.0000 ,-0.0748 ,-0.0404 
C(year)[T.2011]        ,-0.0546  ,0.0091   ,-5.9650,0.0000 ,-0.0725 ,-0.0366 
C(year)[T.2012]        ,-0.0555  ,0.0096   ,-5.7741,0.0000 ,-0.0744 ,-0.0367 
C(year)[T.2013]        ,-0.0571  ,0.0101   ,-5.6459,0.0000 ,-0.0769 ,-0.0373 
C(year)[T.2014]        ,-0.0574  ,0.0102   ,-5.6207,0.0000 ,-0.0774 ,-0.0374 
C(year)[T.2015]        ,-0.0561  ,0.0103   ,-5.4464,0.0000 ,-0.0763 ,-0.0359 
C(year)[T.2016]        ,-0.0560  ,0.0107   ,-5.2566,0.0000 ,-0.0769 ,-0.0351 
C(year)[T.2017]        ,-0.0634  ,0.0117   ,-5.3965,0.0000 ,-0.0864 ,-0.0403 
C(year)[T.2018]        ,-0.0668  ,0.0118   ,-5.6499,0.0000 ,-0.0900 ,-0.0436 
C(year)[T.2019]        ,-0.0653  ,0.0119   ,-5.5096,0.0000 ,-0.0885 ,-0.0421 
L_0_log_gdp            ,0.0216   ,0.0089   ,2.4164 ,0.0157 ,0.0041  ,0.0390  
L_1_log_gdp            ,-0.0200  ,0.0092   ,-2.1800,0.0293 ,-0.0379 ,-0.0020 
L_0_log_restriction_2_0,0.0091   ,0.0074   ,1.2343 ,0.2171 ,-0.0053 ,0.0235  

Endogenous: L_0_log_restriction_2_0
Instruments: L_0_bartik_iv
Robust Covariance (Heteroskedastic)
Debiased: False
