                      IV-2SLS Estimation Summary                      
Dep. Variable:   ,job_destruction_rate,  R-squared:         ,0.7146   
Estimator:       ,IV-2SLS             ,  Adj. R-squared:    ,0.7047   
No. Observations:,8262                ,  F-statistic:       ,3.197e+05
Date:            ,Sat, Aug 13 2022    ,  P-value (F-stat)   ,0.0000   
Time:            ,22:39:30            ,  Distribution:      ,chi2(279)
Cov. Estimator:  ,heteroskedastic     ,                     ,         
                 ,                    ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.1100]      ,-0.5256  ,0.1322   ,-3.9756,0.0001 ,-0.7848 ,-0.2665 
C(sector)[T.2111]      ,-0.4529  ,0.1190   ,-3.8046,0.0001 ,-0.6862 ,-0.2196 
C(sector)[T.2121]      ,-0.4710  ,0.1199   ,-3.9292,0.0001 ,-0.7060 ,-0.2361 
C(sector)[T.2122]      ,-0.5298  ,0.1193   ,-4.4407,0.0000 ,-0.7636 ,-0.2960 
C(sector)[T.2123]      ,-0.5032  ,0.1188   ,-4.2367,0.0000 ,-0.7360 ,-0.2704 
C(sector)[T.2131]      ,-0.4310  ,0.1196   ,-3.6040,0.0003 ,-0.6654 ,-0.1966 
C(sector)[T.2211]      ,-0.5797  ,0.1224   ,-4.7356,0.0000 ,-0.8197 ,-0.3398 
C(sector)[T.2212]      ,-0.5598  ,0.1223   ,-4.5766,0.0000 ,-0.7996 ,-0.3201 
C(sector)[T.2213]      ,-0.5563  ,0.1221   ,-4.5546,0.0000 ,-0.7957 ,-0.3169 
C(sector)[T.3111]      ,-0.7088  ,0.1518   ,-4.6687,0.0000 ,-1.0064 ,-0.4113 
C(sector)[T.3112]      ,-0.7535  ,0.1519   ,-4.9609,0.0000 ,-1.0512 ,-0.4558 
C(sector)[T.3113]      ,-0.7240  ,0.1519   ,-4.7660,0.0000 ,-1.0217 ,-0.4262 
C(sector)[T.3114]      ,-0.7249  ,0.1519   ,-4.7723,0.0000 ,-1.0226 ,-0.4272 
C(sector)[T.3115]      ,-0.7424  ,0.1518   ,-4.8902,0.0000 ,-1.0399 ,-0.4448 
C(sector)[T.3116]      ,-0.7587  ,0.1518   ,-4.9965,0.0000 ,-1.0563 ,-0.4611 
C(sector)[T.3117]      ,-0.6814  ,0.1519   ,-4.4862,0.0000 ,-0.9790 ,-0.3837 
C(sector)[T.3118]      ,-0.7086  ,0.1519   ,-4.6652,0.0000 ,-1.0063 ,-0.4109 
C(sector)[T.3119]      ,-0.7241  ,0.1519   ,-4.7666,0.0000 ,-1.0219 ,-0.4264 
C(sector)[T.3121]      ,-0.7255  ,0.1518   ,-4.7781,0.0000 ,-1.0231 ,-0.4279 
C(sector)[T.3122]      ,-0.7283  ,0.1519   ,-4.7929,0.0000 ,-1.0261 ,-0.4305 
C(sector)[T.3131]      ,-0.7100  ,0.1519   ,-4.6737,0.0000 ,-1.0078 ,-0.4123 
C(sector)[T.3132]      ,-0.7095  ,0.1520   ,-4.6680,0.0000 ,-1.0075 ,-0.4116 
C(sector)[T.3133]      ,-0.6931  ,0.1520   ,-4.5595,0.0000 ,-0.9910 ,-0.3951 
C(sector)[T.3141]      ,-0.7026  ,0.1518   ,-4.6277,0.0000 ,-1.0002 ,-0.4051 
C(sector)[T.3149]      ,-0.6725  ,0.1520   ,-4.4259,0.0000 ,-0.9703 ,-0.3747 
C(sector)[T.3151]      ,-0.6784  ,0.1519   ,-4.4660,0.0000 ,-0.9761 ,-0.3807 
C(sector)[T.3152]      ,-0.6119  ,0.1521   ,-4.0230,0.0001 ,-0.9101 ,-0.3138 
C(sector)[T.3159]      ,-0.6587  ,0.1518   ,-4.3376,0.0000 ,-0.9563 ,-0.3610 
C(sector)[T.3161]      ,-0.6863  ,0.1521   ,-4.5125,0.0000 ,-0.9844 ,-0.3882 
C(sector)[T.3162]      ,-0.6872  ,0.1519   ,-4.5230,0.0000 ,-0.9850 ,-0.3894 
C(sector)[T.3169]      ,-0.6731  ,0.1518   ,-4.4330,0.0000 ,-0.9706 ,-0.3755 
C(sector)[T.3211]      ,-0.7114  ,0.1519   ,-4.6844,0.0000 ,-1.0091 ,-0.4138 
C(sector)[T.3212]      ,-0.7159  ,0.1522   ,-4.7041,0.0000 ,-1.0142 ,-0.4176 
C(sector)[T.3219]      ,-0.6943  ,0.1520   ,-4.5685,0.0000 ,-0.9921 ,-0.3964 
C(sector)[T.3221]      ,-0.7635  ,0.1519   ,-5.0248,0.0000 ,-1.0613 ,-0.4657 
C(sector)[T.3222]      ,-0.7401  ,0.1519   ,-4.8733,0.0000 ,-1.0378 ,-0.4424 
C(sector)[T.3231]      ,-0.7126  ,0.1518   ,-4.6940,0.0000 ,-1.0102 ,-0.4151 
C(sector)[T.3241]      ,-0.7346  ,0.1520   ,-4.8328,0.0000 ,-1.0325 ,-0.4367 
C(sector)[T.3251]      ,-0.7439  ,0.1520   ,-4.8951,0.0000 ,-1.0418 ,-0.4461 
C(sector)[T.3252]      ,-0.7349  ,0.1520   ,-4.8342,0.0000 ,-1.0328 ,-0.4369 
C(sector)[T.3253]      ,-0.7271  ,0.1519   ,-4.7866,0.0000 ,-1.0249 ,-0.4294 
C(sector)[T.3254]      ,-0.7400  ,0.1520   ,-4.8697,0.0000 ,-1.0379 ,-0.4422 
C(sector)[T.3255]      ,-0.7251  ,0.1519   ,-4.7743,0.0000 ,-1.0227 ,-0.4274 
C(sector)[T.3256]      ,-0.7207  ,0.1519   ,-4.7455,0.0000 ,-1.0184 ,-0.4231 
C(sector)[T.3259]      ,-0.7230  ,0.1519   ,-4.7587,0.0000 ,-1.0208 ,-0.4252 
C(sector)[T.3261]      ,-0.7214  ,0.1519   ,-4.7488,0.0000 ,-1.0191 ,-0.4236 
C(sector)[T.3262]      ,-0.7426  ,0.1519   ,-4.8875,0.0000 ,-1.0404 ,-0.4448 
C(sector)[T.3271]      ,-0.7119  ,0.1520   ,-4.6851,0.0000 ,-1.0098 ,-0.4141 
C(sector)[T.3272]      ,-0.7351  ,0.1520   ,-4.8361,0.0000 ,-1.0330 ,-0.4372 
C(sector)[T.3273]      ,-0.6863  ,0.1519   ,-4.5183,0.0000 ,-0.9840 ,-0.3886 
C(sector)[T.3274]      ,-0.7410  ,0.1520   ,-4.8759,0.0000 ,-1.0388 ,-0.4431 
C(sector)[T.3279]      ,-0.7130  ,0.1520   ,-4.6914,0.0000 ,-1.0109 ,-0.4151 
C(sector)[T.3311]      ,-0.7537  ,0.1521   ,-4.9542,0.0000 ,-1.0519 ,-0.4556 
C(sector)[T.3312]      ,-0.7300  ,0.1520   ,-4.8038,0.0000 ,-1.0278 ,-0.4321 
C(sector)[T.3313]      ,-0.7366  ,0.1519   ,-4.8481,0.0000 ,-1.0344 ,-0.4388 
C(sector)[T.3314]      ,-0.7368  ,0.1520   ,-4.8485,0.0000 ,-1.0346 ,-0.4389 
C(sector)[T.3315]      ,-0.7276  ,0.1519   ,-4.7897,0.0000 ,-1.0253 ,-0.4299 
C(sector)[T.3321]      ,-0.7252  ,0.1519   ,-4.7749,0.0000 ,-1.0229 ,-0.4275 
C(sector)[T.3322]      ,-0.7296  ,0.1520   ,-4.8008,0.0000 ,-1.0274 ,-0.4317 
C(sector)[T.3323]      ,-0.7043  ,0.1520   ,-4.6340,0.0000 ,-1.0021 ,-0.4064 
C(sector)[T.3324]      ,-0.7173  ,0.1519   ,-4.7215,0.0000 ,-1.0150 ,-0.4195 
C(sector)[T.3325]      ,-0.7214  ,0.1519   ,-4.7486,0.0000 ,-1.0191 ,-0.4236 
C(sector)[T.3326]      ,-0.7216  ,0.1519   ,-4.7491,0.0000 ,-1.0194 ,-0.4238 
C(sector)[T.3327]      ,-0.7128  ,0.1519   ,-4.6917,0.0000 ,-1.0105 ,-0.4150 
C(sector)[T.3328]      ,-0.7072  ,0.1520   ,-4.6529,0.0000 ,-1.0052 ,-0.4093 
C(sector)[T.3329]      ,-0.7253  ,0.1519   ,-4.7757,0.0000 ,-1.0229 ,-0.4276 
C(sector)[T.3331]      ,-0.7204  ,0.1521   ,-4.7375,0.0000 ,-1.0184 ,-0.4223 
C(sector)[T.3332]      ,-0.7072  ,0.1520   ,-4.6540,0.0000 ,-1.0051 ,-0.4094 
C(sector)[T.3333]      ,-0.7164  ,0.1519   ,-4.7164,0.0000 ,-1.0142 ,-0.4187 
C(sector)[T.3334]      ,-0.7270  ,0.1519   ,-4.7856,0.0000 ,-1.0247 ,-0.4292 
C(sector)[T.3335]      ,-0.7186  ,0.1520   ,-4.7287,0.0000 ,-1.0165 ,-0.4208 
C(sector)[T.3336]      ,-0.7333  ,0.1520   ,-4.8251,0.0000 ,-1.0312 ,-0.4355 
C(sector)[T.3339]      ,-0.7265  ,0.1519   ,-4.7817,0.0000 ,-1.0243 ,-0.4287 
C(sector)[T.3341]      ,-0.6682  ,0.1521   ,-4.3920,0.0000 ,-0.9664 ,-0.3700 
C(sector)[T.3342]      ,-0.6826  ,0.1523   ,-4.4811,0.0000 ,-0.9812 ,-0.3841 
C(sector)[T.3343]      ,-0.6944  ,0.1522   ,-4.5621,0.0000 ,-0.9927 ,-0.3961 
C(sector)[T.3344]      ,-0.7041  ,0.1520   ,-4.6316,0.0000 ,-1.0020 ,-0.4061 
C(sector)[T.3345]      ,-0.7235  ,0.1519   ,-4.7625,0.0000 ,-1.0212 ,-0.4257 
C(sector)[T.3346]      ,-0.6661  ,0.1521   ,-4.3790,0.0000 ,-0.9642 ,-0.3680 
C(sector)[T.3351]      ,-0.7212  ,0.1519   ,-4.7483,0.0000 ,-1.0190 ,-0.4235 
C(sector)[T.3352]      ,-0.7344  ,0.1519   ,-4.8337,0.0000 ,-1.0321 ,-0.4366 
C(sector)[T.3353]      ,-0.7245  ,0.1519   ,-4.7689,0.0000 ,-1.0222 ,-0.4267 
C(sector)[T.3359]      ,-0.7210  ,0.1519   ,-4.7463,0.0000 ,-1.0187 ,-0.4232 
C(sector)[T.3361]      ,-0.7389  ,0.1522   ,-4.8559,0.0000 ,-1.0371 ,-0.4406 
C(sector)[T.3362]      ,-0.7037  ,0.1522   ,-4.6246,0.0000 ,-1.0020 ,-0.4055 
C(sector)[T.3363]      ,-0.7253  ,0.1520   ,-4.7700,0.0000 ,-1.0233 ,-0.4273 
C(sector)[T.3364]      ,-0.7318  ,0.1520   ,-4.8148,0.0000 ,-1.0297 ,-0.4339 
C(sector)[T.3365]      ,-0.7010  ,0.1522   ,-4.6055,0.0000 ,-0.9994 ,-0.4027 
C(sector)[T.3366]      ,-0.7236  ,0.1520   ,-4.7610,0.0000 ,-1.0215 ,-0.4257 
C(sector)[T.3369]      ,-0.7040  ,0.1521   ,-4.6290,0.0000 ,-1.0021 ,-0.4059 
C(sector)[T.3371]      ,-0.6993  ,0.1520   ,-4.6017,0.0000 ,-0.9972 ,-0.4015 
C(sector)[T.3372]      ,-0.7056  ,0.1520   ,-4.6411,0.0000 ,-1.0035 ,-0.4076 
C(sector)[T.3379]      ,-0.7085  ,0.1519   ,-4.6642,0.0000 ,-1.0063 ,-0.4108 
C(sector)[T.3391]      ,-0.7227  ,0.1519   ,-4.7568,0.0000 ,-1.0205 ,-0.4249 
C(sector)[T.3399]      ,-0.6981  ,0.1519   ,-4.5953,0.0000 ,-0.9958 ,-0.4003 
C(sector)[T.4231]      ,-0.4450  ,0.1085   ,-4.1009,0.0000 ,-0.6577 ,-0.2323 
C(sector)[T.4232]      ,-0.4318  ,0.1089   ,-3.9650,0.0001 ,-0.6453 ,-0.2184 
C(sector)[T.4233]      ,-0.4357  ,0.1090   ,-3.9977,0.0001 ,-0.6493 ,-0.2221 
C(sector)[T.4234]      ,-0.4176  ,0.1086   ,-3.8442,0.0001 ,-0.6304 ,-0.2047 
C(sector)[T.4235]      ,-0.4551  ,0.1088   ,-4.1822,0.0000 ,-0.6683 ,-0.2418 
C(sector)[T.4236]      ,-0.4178  ,0.1088   ,-3.8383,0.0001 ,-0.6311 ,-0.2044 
C(sector)[T.4237]      ,-0.4581  ,0.1087   ,-4.2154,0.0000 ,-0.6711 ,-0.2451 
C(sector)[T.4238]      ,-0.4517  ,0.1086   ,-4.1602,0.0000 ,-0.6646 ,-0.2389 
C(sector)[T.4239]      ,-0.4211  ,0.1088   ,-3.8697,0.0001 ,-0.6343 ,-0.2078 
C(sector)[T.4241]      ,-0.4466  ,0.1087   ,-4.1096,0.0000 ,-0.6596 ,-0.2336 
C(sector)[T.4242]      ,-0.4377  ,0.1093   ,-4.0042,0.0001 ,-0.6519 ,-0.2235 
C(sector)[T.4243]      ,-0.4047  ,0.1088   ,-3.7185,0.0002 ,-0.6181 ,-0.1914 
C(sector)[T.4244]      ,-0.4489  ,0.1087   ,-4.1289,0.0000 ,-0.6620 ,-0.2358 
C(sector)[T.4245]      ,-0.4281  ,0.1083   ,-3.9533,0.0001 ,-0.6404 ,-0.2159 
C(sector)[T.4246]      ,-0.4359  ,0.1087   ,-4.0086,0.0001 ,-0.6490 ,-0.2227 
C(sector)[T.4247]      ,-0.4173  ,0.1082   ,-3.8559,0.0001 ,-0.6295 ,-0.2052 
C(sector)[T.4248]      ,-0.4863  ,0.1087   ,-4.4732,0.0000 ,-0.6994 ,-0.2733 
C(sector)[T.4249]      ,-0.4279  ,0.1087   ,-3.9362,0.0001 ,-0.6410 ,-0.2148 
C(sector)[T.4251]      ,-0.4134  ,0.1088   ,-3.8002,0.0001 ,-0.6266 ,-0.2002 
C(sector)[T.4411]      ,-0.6186  ,0.1339   ,-4.6189,0.0000 ,-0.8811 ,-0.3561 
C(sector)[T.4412]      ,-0.5786  ,0.1338   ,-4.3235,0.0000 ,-0.8409 ,-0.3163 
C(sector)[T.4413]      ,-0.5964  ,0.1339   ,-4.4537,0.0000 ,-0.8589 ,-0.3340 
C(sector)[T.4421]      ,-0.5692  ,0.1340   ,-4.2479,0.0000 ,-0.8318 ,-0.3066 
C(sector)[T.4422]      ,-0.5605  ,0.1342   ,-4.1776,0.0000 ,-0.8235 ,-0.2975 
C(sector)[T.4431]      ,-0.5525  ,0.1337   ,-4.1315,0.0000 ,-0.8146 ,-0.2904 
C(sector)[T.4441]      ,-0.6174  ,0.1339   ,-4.6110,0.0000 ,-0.8798 ,-0.3549 
C(sector)[T.4442]      ,-0.5835  ,0.1338   ,-4.3623,0.0000 ,-0.8457 ,-0.3214 
C(sector)[T.4451]      ,-0.6166  ,0.1337   ,-4.6109,0.0000 ,-0.8786 ,-0.3545 
C(sector)[T.4452]      ,-0.5195  ,0.1338   ,-3.8829,0.0001 ,-0.7817 ,-0.2572 
C(sector)[T.4453]      ,-0.5595  ,0.1336   ,-4.1872,0.0000 ,-0.8215 ,-0.2976 
C(sector)[T.4461]      ,-0.5859  ,0.1339   ,-4.3751,0.0000 ,-0.8484 ,-0.3234 
C(sector)[T.4471]      ,-0.5555  ,0.1338   ,-4.1526,0.0000 ,-0.8177 ,-0.2933 
C(sector)[T.4481]      ,-0.5549  ,0.1338   ,-4.1479,0.0000 ,-0.8170 ,-0.2927 
C(sector)[T.4482]      ,-0.5457  ,0.1341   ,-4.0704,0.0000 ,-0.8084 ,-0.2829 
C(sector)[T.4483]      ,-0.5553  ,0.1339   ,-4.1466,0.0000 ,-0.8178 ,-0.2928 
C(sector)[T.4511]      ,-0.5674  ,0.1340   ,-4.2331,0.0000 ,-0.8301 ,-0.3047 
C(sector)[T.4512]      ,-0.5669  ,0.1341   ,-4.2273,0.0000 ,-0.8298 ,-0.3041 
C(sector)[T.4522]      ,-0.6404  ,0.1343   ,-4.7676,0.0000 ,-0.9037 ,-0.3772 
C(sector)[T.4523]      ,-0.6436  ,0.1339   ,-4.8069,0.0000 ,-0.9060 ,-0.3812 
C(sector)[T.4531]      ,-0.5410  ,0.1339   ,-4.0391,0.0001 ,-0.8036 ,-0.2785 
C(sector)[T.4532]      ,-0.5504  ,0.1339   ,-4.1118,0.0000 ,-0.8128 ,-0.2880 
C(sector)[T.4533]      ,-0.5776  ,0.1337   ,-4.3212,0.0000 ,-0.8395 ,-0.3156 
C(sector)[T.4539]      ,-0.5381  ,0.1336   ,-4.0278,0.0001 ,-0.7999 ,-0.2762 
C(sector)[T.4541]      ,-0.5573  ,0.1332   ,-4.1834,0.0000 ,-0.8184 ,-0.2962 
C(sector)[T.4542]      ,-0.5660  ,0.1340   ,-4.2247,0.0000 ,-0.8286 ,-0.3034 
C(sector)[T.4543]      ,-0.5624  ,0.1336   ,-4.2104,0.0000 ,-0.8242 ,-0.3006 
C(sector)[T.4811]      ,-0.6923  ,0.1432   ,-4.8330,0.0000 ,-0.9730 ,-0.4115 
C(sector)[T.4812]      ,-0.6276  ,0.1425   ,-4.4045,0.0000 ,-0.9068 ,-0.3483 
C(sector)[T.4831]      ,-0.6231  ,0.1426   ,-4.3705,0.0000 ,-0.9025 ,-0.3437 
C(sector)[T.4832]      ,-0.6472  ,0.1428   ,-4.5332,0.0000 ,-0.9271 ,-0.3674 
C(sector)[T.4841]      ,-0.6366  ,0.1423   ,-4.4741,0.0000 ,-0.9155 ,-0.3577 
C(sector)[T.4842]      ,-0.6014  ,0.1429   ,-4.2100,0.0000 ,-0.8814 ,-0.3214 
C(sector)[T.4851]      ,-0.6790  ,0.1427   ,-4.7583,0.0000 ,-0.9586 ,-0.3993 
C(sector)[T.4852]      ,-0.6019  ,0.1438   ,-4.1853,0.0000 ,-0.8838 ,-0.3200 
C(sector)[T.4853]      ,-0.5989  ,0.1427   ,-4.1976,0.0000 ,-0.8785 ,-0.3192 
C(sector)[T.4854]      ,-0.6631  ,0.1429   ,-4.6389,0.0000 ,-0.9432 ,-0.3829 
C(sector)[T.4855]      ,-0.6333  ,0.1426   ,-4.4408,0.0000 ,-0.9129 ,-0.3538 
C(sector)[T.4859]      ,-0.6159  ,0.1422   ,-4.3317,0.0000 ,-0.8945 ,-0.3372 
C(sector)[T.4861]      ,-0.6121  ,0.1433   ,-4.2728,0.0000 ,-0.8929 ,-0.3313 
C(sector)[T.4862]      ,-0.6368  ,0.1439   ,-4.4248,0.0000 ,-0.9188 ,-0.3547 
C(sector)[T.4869]      ,-0.6197  ,0.1431   ,-4.3294,0.0000 ,-0.9002 ,-0.3391 
C(sector)[T.4871]      ,-0.6171  ,0.1425   ,-4.3295,0.0000 ,-0.8965 ,-0.3377 
C(sector)[T.4872]      ,-0.5994  ,0.1427   ,-4.2002,0.0000 ,-0.8790 ,-0.3197 
C(sector)[T.4879]      ,-0.5956  ,0.1443   ,-4.1270,0.0000 ,-0.8785 ,-0.3128 
C(sector)[T.4881]      ,-0.6287  ,0.1425   ,-4.4104,0.0000 ,-0.9080 ,-0.3493 
C(sector)[T.4882]      ,-0.6357  ,0.1427   ,-4.4533,0.0000 ,-0.9155 ,-0.3559 
C(sector)[T.4883]      ,-0.6192  ,0.1430   ,-4.3310,0.0000 ,-0.8994 ,-0.3390 
C(sector)[T.4884]      ,-0.5984  ,0.1421   ,-4.2122,0.0000 ,-0.8769 ,-0.3200 
C(sector)[T.4885]      ,-0.6258  ,0.1424   ,-4.3940,0.0000 ,-0.9049 ,-0.3466 
C(sector)[T.4889]      ,-0.6098  ,0.1425   ,-4.2794,0.0000 ,-0.8891 ,-0.3305 
C(sector)[T.4921]      ,-0.6833  ,0.1431   ,-4.7739,0.0000 ,-0.9639 ,-0.4028 
C(sector)[T.4922]      ,-0.5771  ,0.1429   ,-4.0391,0.0001 ,-0.8571 ,-0.2971 
C(sector)[T.4931]      ,-0.6387  ,0.1427   ,-4.4757,0.0000 ,-0.9184 ,-0.3590 
C(sector)[T.5111]      ,-0.6193  ,0.1377   ,-4.4979,0.0000 ,-0.8891 ,-0.3494 
C(sector)[T.5112]      ,-0.5917  ,0.1374   ,-4.3068,0.0000 ,-0.8610 ,-0.3224 
C(sector)[T.5121]      ,-0.5486  ,0.1376   ,-3.9873,0.0001 ,-0.8183 ,-0.2789 
C(sector)[T.5122]      ,-0.5543  ,0.1375   ,-4.0318,0.0001 ,-0.8238 ,-0.2848 
C(sector)[T.5151]      ,-0.6036  ,0.1374   ,-4.3916,0.0000 ,-0.8730 ,-0.3342 
C(sector)[T.5152]      ,-0.5876  ,0.1377   ,-4.2680,0.0000 ,-0.8575 ,-0.3178 
C(sector)[T.5173]      ,-0.5696  ,0.1376   ,-4.1402,0.0000 ,-0.8392 ,-0.2999 
C(sector)[T.5174]      ,-0.5146  ,0.1382   ,-3.7232,0.0002 ,-0.7855 ,-0.2437 
C(sector)[T.5179]      ,-0.4861  ,0.1382   ,-3.5182,0.0004 ,-0.7569 ,-0.2153 
C(sector)[T.5182]      ,-0.5641  ,0.1373   ,-4.1101,0.0000 ,-0.8331 ,-0.2951 
C(sector)[T.5191]      ,-0.5975  ,0.1372   ,-4.3562,0.0000 ,-0.8664 ,-0.3287 
